stratum,pmcid,n_lines,n_chars,title
short,PMC3083341,163,18794,N-terminal-pro-brain natriuretic peptide is decreased in insulin dependent gestational diabetes mellitus: a prospective cohort trial
short,PMC3607605,198,18938,"Increasing Trends of Diabetes Mellitus and Body Weight: A Ten Year Observation at Gondar University Teaching Referral Hospital, Northwest Ethiopia"
short,PMC5228690,122,19044,Bortezomib combined with lenalidomide as the first-line treatment for the rare synchronous occurrence of multiple myeloma and pulmonary adenocarcinoma: A case report
short,PMC13494960,168,19116,Current Status of Multidisciplinary Team Consultation for Lung Cancer and Prospects under the Empowerment of Medical Large Models
short,PMC5067668,135,19189,Influence of age on androgen deprivation therapy-associated Alzheimer’s disease
short,PMC2649159,164,19291,Recent developments in Alzheimer's disease therapeutics
short,PMC8213256,156,19450,The use of cisplatin in patients after kidney transplantation with chronic renal insufficiency: Is the benefit higher than potential risks in therapy of non-seminomatous germ cell tumors?
short,PMC3262743,144,19656,The Chinese version of the Myocardial Infarction Dimensional Assessment Scale (MIDAS): Mokken scaling
short,PMC10089046,247,19811,Occluded Coronary Artery among Non-ST Elevation Myocardial Infarction Patients in Department of Cardiology of a Tertiary Care Centre: A Descriptive Cross-sectional Study
short,PMC2600791,131,19853,Nephrotic syndrome and kidney failure due to immunocomplex-mediated renal damage in a patient with Waldenström's Macroglobulinemia: a case report
short,PMC9252224,213,19942,End-Stage Renal Disease among Patients Undergoing Haemodialysis at a Tertiary Care Centre: A Descriptive Cross-sectional Study
short,PMC5738010,160,20108,A case report of tongue metastasis from lung squamous cell carcinoma and literature review
short,PMC10574155,117,20261,"Type 1 and Type 2 Diabetes Mellitus: Commonalities, Differences and the Importance of Exercise and Nutrition"
short,PMC5779336,203,20332,"Lung Cancer Incidence Trends Among Men and Women — United States, 2005–2009"
short,PMC11044850,204,20559,Risk of Long-Term Ischemic Stroke in Patients With Traumatic Brain Injury and Incident Hypertension
short,PMC5815792,135,20563,Significant efficacy and well safety of apatinib combined with radiotherapy in NSCLC: Case report
short,PMC6813084,203,20676,The cost of lost productivity due to premature lung cancer-related mortality: results from Spain over a 10-year period
short,PMC5457885,146,20701,Marked response to nab-paclitaxel in EGFR mutated lung neuroendocrine carcinoma: A case report
short,PMC3736467,120,20820,Ambulatory Blood Pressure Monitoring in a Cohort of Children Referred with Suspected Hypertension: Characteristics of Children with and without Attention Deficit Hyperactivity Disorder
short,PMC6000495,222,20833,Clinical Application and Advances in Radiofrequency Ablation of Lung Neoplasms
short,PMC10365959,188,20842,Research Progress of Klotho in Lung Neoplasms
short,PMC9226727,199,20859,Gestational Diabetes Mellitus among Pregnant Women Delivering in a Tertiary Care Hospital: A Descriptive Cross-sectional Study
short,PMC5944517,208,20984,Immunological markers as predictors of developing steroid-induced diabetes mellitus in pemphigus vulgaris patients: An observational study
short,PMC4575702,163,21718,The clinical pattern of renal diseases in the nephrology in-patient unit of the Yaounde General Hospital in Cameroon: a five-year audit
short,PMC3371754,191,21848,Intelligent ZHENG Classification of Hypertension Depending on ML-kNN and Information Fusion
short,PMC3956417,128,21896,Simple Method for Evaluation of Planum Temporale Pyramidal Neurons Shrinkage in Postmortem Tissue of Alzheimer Disease Patients
short,PMC5266063,167,22068,Weight loss before a diagnosis of type 2 diabetes mellitus is a risk factor for diabetes complications
short,PMC12096032,170,22295,Triple synchronous primary lung adenocarcinoma: A diagnostic challenge
short,PMC9423753,127,22381,The Diagnostic Dilemma of Ruptured Liver Metastasis in a Patient with Lung Cancer: A case report
short,PMC9411953,238,22424,Analysis of Clinicopathologic Features of 9 Cases of SMARCA4-deficient Non-small Cell Lung Cancer
short,PMC5617704,211,22504,The prognostic value of shock index for the outcomes of acute myocardial infarction patients: A systematic review and meta-analysis
short,PMC5708966,156,22593,Responses to crizotinib and disease monitoring with circulating tumor cells in lung adenocarcinoma patient with MET exon 14 skipping mutation: A case report
short,PMC5485046,164,22645,"Renal safety of canagliflozin, a sodium glucose co‐transporter 2 inhibitor, in patients with type 2 diabetes mellitus"
short,PMC5571687,162,22849,Pemetrexed-carboplatin with intercalated icotinib in the treatment of patient with advanced EGFR wild-type lung adenocarcinoma: A case report
short,PMC4422624,206,22873,Reduced CSF Water Influx in Alzheimer’s Disease Supporting the β-Amyloid Clearance Hypothesis
short,PMC10835556,210,22971,Serum and salivary adiponectin levels as predictive markers for diabetes mellitus in children with a family history of diabetes
short,PMC11444230,170,23039,The role of first-trimester systemic immune-inflammation index for the prediction of gestational diabetes mellitus
short,PMC5402593,153,23066,Comparative clinical implications of admission electrocardiographic findings for patients with non-ST-segment elevation myocardial infarction
short,PMC5794406,156,23191,Prognostic impact of left ventricular mass change in patients with ST-elevation myocardial infarction
short,PMC4656957,132,23246,Diabetes mellitus and renal involvement in chronic viral liver disease
short,PMC5403074,167,23290,High expression of CD8 predicts favorable prognosis in patients with lung adenocarcinoma: A cohort study
short,PMC6247241,141,23304,Familial history of hypertension-induced impairment on heart rate variability was not observed in strength-trained subjects
short,PMC4985413,166,23364,Characterization of Benign Myocarditis Using Quantitative Delayed-Enhancement Imaging Based on Molli T1 Mapping
short,PMC6076114,203,23525,A case report of pediatric calciphylaxis–a rare and potentially fatal under diagnosed condition
short,PMC5304385,190,23676,Comparisons of serum miRNA expression profiles in patients with diabetic retinopathy and type 2 diabetes mellitus
short,PMC5521921,156,23682,Assessment of optic disc and ganglion cell layer in diabetes mellitus type 2
short,PMC6392805,210,23709,Effects of slow breathing rate on heart rate variability and arterial baroreflex sensitivity in essential hypertension
short,PMC5585474,185,23885,Comparative assessment of the efficacy and safety of acarbose and metformin combined with premixed insulin in patients with type 2 diabetes mellitus
short,PMC6814951,254,23962,"Risk factors for hypertension among young adults (18-35) years attending in Tenwek Mission Hospital, Bomet County, Kenya in 2018"
short,PMC4796473,231,24014,Erectile Dysfunction Among Male Hypertensives in a Tertiary Health Facility in South-West Nigeria
short,PMC6392978,179,24118,Therapeutic efficacy of neuromuscular electrical stimulation and electromyographic biofeedback on Alzheimer's disease patients with dysphagia
short,PMC5976344,208,24154,Lung cancer screening CT-based coronary artery calcification in predicting cardiovascular events: A systematic review and meta-analysis
short,PMC8152353,255,24216,Longitudinal study of primary progressive aphasia in a patient with pathologically diagnosed Alzheimer’s disease: a case report
short,PMC6299491,197,24217,Perceived family support among older persons in diabetes mellitus self-management
short,PMC3809380,207,24324,Higher Incidence of Lung Adenocarcinomas Induced by DMBA in Connexin 43 Heterozygous Knockout Mice
short,PMC4616658,135,24539,Metachronous Primary Adenocarcinoma of Lung During Adjuvant Imatinib Mesylate Therapy for Gastrointestinal Stromal Tumor of Stomach: A Case Report
short,PMC9446016,259,24646,Hearing Loss in Patients with Diabetes Mellitus
short,PMC11238481,200,24704,Stereotactic body radiation therapy for multiple lung cancers in a patient with six primary cancers: a case report
short,PMC5706061,238,24740,Impact of the delay to start treatment in patients with lung cancer treated in a densely populated area of Brazil
short,PMC4567586,232,24807,A community-driven hypertension treatment group in rural Honduras
short,PMC7654398,201,25098,SARS‐CoV‐2 infection associated acute kidney injury in patients with pre‐existing chronic renal disease: A report of two cases
short,PMC5313025,167,25190,"Rapid intracranial response to osimertinib, without radiotherapy, in nonsmall cell lung cancer patients harboring the EGFR T790M mutation: Two Case Reports"
short,PMC6171234,195,25382,An open-label pilot study on preventing glucocorticoid-induced diabetes mellitus with linagliptin
short,PMC9155036,201,25443,Delays in Presentation by Patients with ST Elevation Myocardial Infarction: A single centre experience from Oman
short,PMC4582323,267,25511,Patient classification of hypertension in Traditional Chinese Medicine using multi-label learning techniques
short,PMC1559722,215,25551,Negative association of endothelial nitric oxide gene polymorphism with hypertension in Turkish patients: effect of ecNOS polymorphism on left ventricular hypertrophy
short,PMC12245100,253,25573,Identification of risk factors in myocardial infarction with non-obstructive coronary arteries
short,PMC11918843,202,25604,Association between lipoprotein(a) and coronary heart disease risk in type 2 diabetes mellitus and evaluation of statin treatment effects
short,PMC3493278,192,25655,"Cardiovascular disease prevalence in patients with inflammatory arthritis, diabetes mellitus and osteoarthritis: a cross-sectional study in primary care"
short,PMC9339419,148,25689,Empagliflozin in the treatment of heart failure and type 2 diabetes mellitus: Evidence from several large clinical trials
short,PMC3850679,198,25717,Vitamin D insufficiency and deficiency with stages of chronic kidney disease in an Asian population
short,PMC11219383,218,25755,"Genetically Proxied Therapeutic Effect of Metformin Use, Blood Pressure, and Hypertension’s Risk: a Drug Target-Based Mendelian Randomization Study"
short,PMC8265258,237,25775,"Chronic kidney diseases among homeless and slum dwellers in Accra, Ghana"
short,PMC4894669,203,25873,Etiology of endocrine arterial hypertensions: about a series of cases
short,PMC5427558,195,26033,Concordant clear cell “mesonephric” carcinoma of the bladder and lung adenocarcinoma with clear cell features – multiple primaries versus metastatic neoplasms: a case report
short,PMC2632987,204,26120,Inter-practice variation in diagnosing hypertension and diabetes mellitus: a cross-sectional study in general practice
short,PMC5059092,165,26131,From biportal to uniportal video-assisted thoracoscopic anatomical lung resection: A single-institute experience
short,PMC9518626,173,26245,Effect of vegetarian diets on renal function in patients with chronic kidney disease under non-dialysis treatment: A scoping review
short,PMC5052499,276,26277,The prognostic value of blood glucose level on admission in non-diabetic patients with acute myocardial infarction
short,PMC9276513,172,26305,Cardiac Magnetic Resonance Assessment of the Protective Effect of Remote Ischemic Postconditioning on Coronary Microcirculation after Reperfusion Therapy for Acute ST-Segment Elevation Myocardial Infarction
short,PMC10185944,244,26307,Myocardial infarction in a 33-year-old with inflammatory bowel disease: a case report
short,PMC4753919,123,26315,Small-Cell Lung Cancer Transformation in Patients With Pulmonary Adenocarcinoma: A Case Report and Review of Literature
short,PMC8904105,218,26351,Expression Levels and Genetic Polymorphism of Scavenger Receptor Class B Type 1 as a Biomarker of Type 2 Diabetes Mellitus
short,PMC6683563,268,26544,The longitudinal effect of subclinical hypothyroidism on urine microalbumin-to-urine creatinine ratio in patients with type 2 diabetes mellitus
short,PMC5959434,182,26779,Early tumor shrinkage served as a prognostic factor for patients with stage III non-small cell lung cancer treated with concurrent chemoradiotherapy
short,PMC4554129,155,26810,Brain Metabolism of Less-Educated Patients With Alzheimer Dementia Studied by Positron Emission Tomography
short,PMC3721924,217,26821,Relationship between Tei index of myocardial performance and left ventricular geometry in Nigerians with systemic hypertension
short,PMC6604195,279,26865,Screening for chronic kidney disease in rural Malawi: results from a diabetic clinic
short,PMC10754314,217,26866,Angiographic Predictors of Viability During Intervention for a ST Elevation Myocardial Infarction
short,PMC6028095,274,26934,Serum uric acid and arterial hypertension—Data from Sephar III survey
short,PMC4912299,174,26985,Risk Factors for Long-Term Mortality and Progressive Chronic Kidney Disease Associated With Acute Kidney Injury After Cardiac Surgery
short,PMC5287973,149,27093,Reactive oxygen species modulator 1 (Romo1) as a novel diagnostic marker for lung cancer-related malignant effusion
short,PMC4517989,225,27143,Hearing Loss is Associated With Risk of Alzheimer’s Disease: A Case-Control Study in Older People
short,PMC10444873,252,27154,A novel index for measuring the impact of devices on hypertension
short,PMC7727236,228,27242,Inverse association of diabetes and dialysis with the severity of femoropopliteal lesions and chronic total occlusion: a cross-sectional study of 2056 cases
short,PMC10627647,196,27332,The relationship between Alzheimer disease and thyroiditis: A two-sample Mendelian randomization study
short,PMC5585497,198,27357,Efficacy of nanoparticle albumin-bound paclitaxel regimens for relapsed small cell lung cancer: A retrospective analysis
short,PMC4998775,187,27437,Improving the Blood Pressure Control With the ProActive Attitude of Hypertensive Patients Seeking Follow-up Services: Evidence From China
short,PMC3912196,179,27442,Autoantibody Profiling for Lung Cancer Screening Longitudinal Retrospective Analysis of CT Screening Cohorts
short,PMC5571721,178,27531,"Age threshold for moderate and severe periodontitis among Korean adults without diabetes mellitus, hypertension, metabolic syndrome, and/or obesity"
short,PMC5880091,207,27628,Can increased vigilance for chronic kidney disease in hospitalised patients decrease late referral and improve dialysis-free survival?
short,PMC5708934,185,27683,Salvage chemoradiotherapy with cisplatin and vinorelbine for postoperative locoregional recurrence of non-small cell lung cancer
short,PMC4616386,187,27804,Meta-analysis of Cholesteryl Ester Transfer Protein TaqIB Polymorphism and Risk of Myocardial Infarction
short,PMC5457871,236,27960,Evidence of elemene injection combined radiotherapy in lung cancer treatment among patients with brain metastases: A systematic review and meta-analysis
short,PMC4616625,152,27966,Type 1 Diabetes and Increased Risk of Subsequent Asthma: A Nationwide Population-Based Cohort Study
short,PMC13452781,206,27974,In-hospital outcomes among patients admitted for myocardial infarction with coexisting respiratory syncytial virus versus influenza infections
short,PMC4616451,196,28017,Adiponectin as a Protective Factor Against the Progression Toward Type 2 Diabetes Mellitus in Postmenopausal Women
short,PMC8670729,275,28054,Metabolic syndrome in hypertensive and non‐hypertensive subjects
short,PMC3937145,233,28120,"Effect of pegloticase on renal function in patients with chronic kidney disease: a post hoc subgroup analysis of 2 randomized, placebo-controlled, phase 3 clinical trials"
short,PMC9228912,238,28144,"Prevalence, complications and factors associated with severely elevated blood pressure in patients with hypertension: a cross-sectional study in two hospitals in Yaoundé, Cameroon"
short,PMC4736777,321,28168,"Diabetes Mellitus in Outpatients in Debre Berhan Referral Hospital, Ethiopia"
short,PMC3721765,237,28206,Relationship between left ventricular diastolic function and geometric patterns in Nigerians with newly diagnosed systemic hypertension
short,PMC4177929,214,28322,Likelihood and Predictors of ST-Elevation in Patients Hospitalized for Myocardial Infarction
short,PMC5992231,136,28340,Recent Findings in the Genetics of Blood Pressure: How to Apply in Practice or Is a Moonshot Required?
short,PMC3830791,216,28363,Effects of Metoprolol and Nebivolol on Exercise Blood Pressure in Patients with Mild Hypertension
short,PMC6381520,243,28447,Awareness of hypertension and depressive symptoms: a cross-sectional study in a primary care population
short,PMC1361785,261,28469,Left ventricular geometric patterns in newly presenting nigerian hypertensives: An echocardiographic study
short,PMC6079422,167,28502,The Impact of Type 2 Diabetes Mellitus on Long-Term Prognosis in Patients of Different Ages with Myocardial Infarction
short,PMC12040632,271,28560,Expression Pattern Study of miR-200a and XIAP Gene in the Non-small Cell Lung Cancer Patients’ Blood
short,PMC12114311,196,28576,Chronic Hepatitis E Virus Infection Without Liver Injury in a Patient with Chronic Kidney Disease
short,PMC4057506,200,28637,"Cefepime neurotoxicity in the intensive care unit: a cause of severe, underappreciated encephalopathy"
short,PMC4333880,180,28657,A meta-analysis of prospective studies on the role of physical activity and the prevention of Alzheimer’s disease in older adults
short,PMC11711671,231,28660,Atopic dermatitis and diabetes mellitus—is there a link?
short,PMC8741798,298,28775,Interrelationship between 2019-nCov receptor DPP4 and diabetes mellitus targets based on protein interaction network
short,PMC3066207,263,28925,Psoriasis and Hypertension Severity: Results from a Case-Control Study
short,PMC9843455,259,28928,Identification of Key Genes and Biological Pathways Related to Myocardial Infarction through Integrated Bioinformatics Analysis
short,PMC5120955,176,28976,Ratio of lymph node to primary tumor SUVmax multiplied by maximal tumor diameter on positron emission tomography/integrated computed tomography may be a predictor of mediastinal lymph node malignancy in lung cancer
short,PMC7137510,289,29065,Relationship between body composition indicators and risk of type 2 diabetes mellitus in Chinese adults
short,PMC3721535,234,29132,Relationship between left ventricular geometric pattern and systolic and diastolic function in treated Nigerian hypertensives
short,PMC3732752,126,29176,Neuronal Autophagy: Self-eating or Self-cannibalism in Alzheimer’s Disease
short,PMC11676660,234,29201,Impact of the COVID-19 pandemic on lung cancer diagnosis in northern Poland–addressing the COVID-19 debt
short,PMC5835263,266,29235,Mitochondrial Genome Mutations Associated with Myocardial Infarction
short,PMC13459720,245,29285,Clinical profile of acute myocardial infarction: the Registry of Acute Medical Emergencies registry
short,PMC2430541,265,29453,Endothelial nitric oxide synthase gene polymorphisms and cardiovascular damage in hypertensive subjects: an Italian case-control study
short,PMC1236936,253,29476,Validation of self reported diagnosis of hypertension in a cohort of university graduates in Spain
short,PMC12711146,302,29540,Preoperative glycemic response to a very low-calorie diet predicts long-term type 2 diabetes remission after bariatric surgery
short,PMC4602932,160,29604,Impact of Admission Systolic Blood Pressure and Antecedent Hypertension on Short-Term Outcomes After ST-Segment Elevation Myocardial Infarction: Strobe-Compliant Article
short,PMC13313068,267,29623,Decoding inflammation: first-trimester biomarkers as predictive tools for gestational diabetes
short,PMC1501045,239,29739,Under- treatment and under diagnosis of hypertension: a serious problem in the United Arab Emirates
short,PMC11460644,259,29803,Investigation of serum Metrnl levels in pregnant women with gestational diabetes mellitus: a prospective non-interventional cohort study
short,PMC5403080,220,29927,Subclinical hypothyroidism and the risk of chronic kidney disease in T2D subjects: A case-control and dose-response analysis
short,PMC8430558,253,29952,Self-Reported Diabetes Mellitus and Tooth Extraction Due to Periodontal Disease and Dental Caries in the Japanese Population
short,PMC10803342,189,29967,Expression levels and clinical significance of ferroptosis-related genes in patients with myocardial infarction
short,PMC3721772,218,30025,Impact of income on the profile of cardiovascular risk factors among hypertensives in a Nigerian tertiary health centre: a cross-sectional study
short,PMC6054391,221,30317,Body mass index ≥23 is a risk factor for insulin resistance and diabetes in Japanese people: A brief report
short,PMC5895397,218,30330,High scavenger receptor class B type I expression is related to tumor aggressiveness and poor prognosis in lung adenocarcinoma: A STROBE compliant article
short,PMC10518896,332,30380,Short-Term Mortality Associated With Hypertensive Emergencies: A Prospective Observational Cohort Study From South India
short,PMC6221621,203,30437,The ratio of urinary sodium and potassium and chronic kidney disease progression: Results from the KoreaN Cohort Study for Outcomes in Patients with Chronic Kidney Disease (KNOW-CKD)
short,PMC3438025,292,30590,Association between human cartilage glycoprotein 39 (YKL-40) and arterial stiffness in essential hypertension
short,PMC12483167,230,30609,Association of copeptin levels in the postpartum period with gestational diabetes
short,PMC8789717,202,30684,Wearable cardioverter-defibrillators after myocardial infarction: a review of its clinical utility and unmet needs in current clinical practice
short,PMC5348162,169,30790,Genetic characterization drives personalized therapy for early-stage non-small-cell lung cancer (NSCLC) patients and survivors with metachronous second primary tumor (MST): A case report
short,PMC3767941,248,30791,Awareness of hypertension and factors associated with uncontrolled hypertension in Sudanese adults
short,PMC8973653,194,30812,Metformin is associated with favorable outcomes in patients with COVID-19 and type 2 diabetes mellitus
short,PMC3623866,191,30867,Mass Spectrometry Quantification Revealed Accumulation of C-Terminal Fragment of Apolipoprotein E in the Alzheimer's Frontal Cortex
short,PMC5708951,188,30902,Association between the number of natural teeth and diabetic retinopathy among type 2 diabetes mellitus: The Korea national health and nutrition examination survey
short,PMC4759941,246,30913,Hypertension unawareness among Chinese patients with first-ever stroke
short,PMC5079310,188,31023,Impact of performance grading on annual numbers of acute myocardial infarction-associated emergency department visits in Taiwan: Results of segmented regression analysis
short,PMC5747262,263,31026,Abnormal elevation of myocardial necrosis biomarkers after coronary artery bypass grafting without established myocardial infarction assessed by cardiac magnetic resonance
short,PMC11645421,275,31044,The Effect of Eight Weeks of High-Intensity Interval Training on Follistatin Gene Expression in the Fast and Slow Twitch Muscles of Rats with Myocardial Infarction
short,PMC6875401,354,31118,Diabetes Mellitus among Adult Tuberculosis Patients Attending Tuberculosis Clinics in Eastern Ethiopia
short,PMC10150548,258,31164,Guillain–Barre syndrome after myocardial infarction: a case report and literature review
short,PMC5312986,188,31241,Chaperonin (HSP60) and annexin-2 are candidate biomarkers for non-small cell lung carcinoma
short,PMC10010752,307,31335,"Racial and Ethnic Differences in Subjective Cognitive Decline — United States, 2015–2020"
short,PMC5728822,187,31389,Assessment of change in glucose metabolism in white matter of amyloid-positive patients with Alzheimer disease using F-18 FDG PET
short,PMC7793332,239,31392,Correlates of Residual Thrombus Burden in Successfully Thrombolysed Patients of ST-Elevation Myocardial Infarction Receiving Dual Anti-Platelet Therapy
short,PMC5266065,191,31416,Usefulness of 3-dimensional stereotactic surface projection FDG PET images for the diagnosis of dementia
short,PMC6739800,211,31475,Incidence of Acute Kidney Injury in Patients with Chronic Renal Insufficiency: Transcatheter versus Surgical Aortic Valve Replacement
short,PMC9129905,242,31591,"Modifiable Risk Factors for Alzheimer Disease and Related Dementias Among Adults Aged ≥45 Years — United States, 2019"
short,PMC13316862,241,31604,Relationship between lower urinary system symptoms and urinary incontinence in women with gestational diabetes
short,PMC10133371,206,31653,"Diabetes mellitus, coronary artery disease and heart disease (Update 2023)"
short,PMC9003277,287,31707,Role of Beta-Carotene in Lung Cancer Primary Chemoprevention: A Systematic Review with Meta-Analysis and Meta-Regression
short,PMC5153917,256,31733,Desire for predictive testing for Alzheimer’s disease and impact on advance care planning: a cross-sectional study
short,PMC9761000,244,31817,The effect of increase in blood glucose level on hearing loss
short,PMC4226256,201,31828,Current ICD10 codes are insufficient to clearly distinguish acute myocardial infarction type: a descriptive study
short,PMC5423430,286,31871,Non-dipper hypertension is associated with slow coronary flow among hypertensives with normal coronary angiogram
short,PMC5931551,213,31971,Paraneoplastic limbic encephalitis associated with lung cancer
short,PMC11411240,417,31983,Comparison of histopathological and triphenyl tetrazolium chloride test in diagnosing myocardial infarction: An autopsy study
short,PMC8197013,183,31987,miR155 Deficiency Reduces Myofibroblast Density but Fails to Improve Cardiac Function after Myocardial Infarction in Dyslipidemic Mouse Model
